,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
1,3M Company,MMM,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902
2,Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888
3,AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888)
4,ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981
5,Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989
6,Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008
7,Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982
8,Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",3/20/2017,2488,1969
9,Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1158449,1932
10,AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981
11,Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,1004434,1993
12,AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955
13,Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999
14,Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940
15,Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998
16,Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",5/13/2016,766421,1985
17,Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/2016,915913,1994
18,Alexandria Real Estate Equities Inc,ARE,reports,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994
19,Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149,1997
20,Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908
21,Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917
22,Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931
23,Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998
24,Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998
25,Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
26,Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994
27,Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902
28,American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934
29,American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
30,American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850
31,American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,1919
32,American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995
33,American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/2016,1410636,1886
34,Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894
35,AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859,1985
36,AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930
37,Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980
38,Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932
39,"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281,1965
40,ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969
41,Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,1156039,2014 (1940s)
42,Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,315293,1982 (1919)
43,A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916
44,Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769,1954
45,Apartment Investment & Management (Aimco),AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,922864,1994 (1975)
46,Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977
47,Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967
48,Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,1521332,1994
49,Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,7084,1902
50,Arista Networks,ANET,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004
51,Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,
52,Assurant Inc.,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,
53,AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,732717,1983
54,Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,
55,Automatic Data Processing,ADP,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,8670,
56,AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,
57,"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[5]",1/10/2007,915912,
58,Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,
59,Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,
60,Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,
61,The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1390777,
62,Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931
63,Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897
64,Berkshire Hathaway,BRK-B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,
65,Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,
66,Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",11/13/2003,875045,
67,BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,
68,Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/1986,12659,
69,Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
70,Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1075531,
71,BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,
72,Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,
73,Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",2/24/1995,885725,
74,Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989
75,Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1441634,
76,Broadridge Financial Solutions,BR,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962
77,Brown-Forman Corp.,BF-B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,
78,C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,
79,Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,
