log_returns,log_returns_norm,out_log_returns,out_log_returns_norm,bin_output
-0.011450495846862259,-0.5363216464730908,0.0031141734474801524,0.14880896772539287,1
0.0031141734474801524,0.14880896772539287,0.021531645011983083,1.015177667897154,1
0.021531645011983083,1.015177667897154,0.02770253228414351,1.3054598364436911,1
0.02770253228414351,1.3054598364436911,0.0,0.002316416217788058,0
0.0,0.002316416217788058,0.010869748294226697,0.5136357722912754,1
0.010869748294226697,0.5136357722912754,0.003821476306531881,0.18208091042818345,1
0.003821476306531881,0.18208091042818345,-0.0049483057611515585,-0.230454798621713,0
-0.0049483057611515585,-0.230454798621713,-0.011794118143196372,-0.5524858414974937,0
-0.011794118143196372,-0.5524858414974937,0.011794118143196386,0.5571186739330704,1
0.011794118143196386,0.5571186739330704,-0.004972826864910504,-0.23160828577199916,0
-0.004972826864910504,-0.23160828577199916,-0.0040872059948451524,-0.18994815889973535,0
-0.0040872059948451524,-0.18994815889973535,0.012211841054337218,0.5767686054825542,1
0.012211841054337218,0.5767686054825542,-0.0006745946008903098,-0.029416910773885755,0
-0.0006745946008903098,-0.029416910773885755,0.005830968199532506,0.2766085915622268,1
0.005830968199532506,0.2766085915622268,-0.0006711239273339883,-0.029253648247475447,0
-0.0006711239273339883,-0.029253648247475447,-0.004485249671308276,-0.20867236766971656,0
-0.004485249671308276,-0.20867236766971656,0.012952347386623065,0.6116024591048911,1
0.012952347386623065,0.6116024591048911,-0.05565857409880426,-2.6158956617274582,0
-0.05565857409880426,-2.6158956617274582,0.008176624731142211,0.3869496551128222,1
0.008176624731142211,0.3869496551128222,0.012715446957661311,0.6004585235222618,1
0.012715446957661311,0.6004585235222618,0.006183472442286229,0.2931905985727975,1
0.006183472442286229,0.2931905985727975,-0.0032014523368062656,-0.14828178560305724,0
-0.0032014523368062656,-0.14828178560305724,-0.0022930180357021625,-0.10554850151014677,0
-0.0022930180357021625,-0.10554850151014677,0.0009177857665823723,0.04548959874967451,1
0.0009177857665823723,0.04548959874967451,0.00799552613268005,0.37843067047353063,1
0.00799552613268005,0.37843067047353063,-0.002962314287428455,-0.1370325910393269,0
-0.002962314287428455,-0.1370325910393269,0.020554080007810258,0.9691924348518671,1
0.020554080007810258,0.9691924348518671,0.0037934215213209716,0.18076119682299893,1
0.0037934215213209716,0.18076119682299893,-0.005359585736793005,-0.24980165069395457,0
-0.005359585736793005,-0.24980165069395457,-0.0002239014986280049,-0.008216042032709552,0
-0.0002239014986280049,-0.008216042032709552,-0.007192651434674682,-0.33603013979145097,0
-0.007192651434674682,-0.33603013979145097,0.01009989384854882,0.4774213661450539,1
0.01009989384854882,0.4774213661450539,0.006011383208352507,0.28509541974249225,1
0.006011383208352507,0.28509541974249225,0.005534048528103865,0.26264131549557845,1
0.005534048528103865,0.26264131549557845,-0.001988734591093642,-0.09123482921989802,0
-0.001988734591093642,-0.09123482921989802,-0.002879551266494804,-0.1331393698326346,0
-0.002879551266494804,-0.1331393698326346,-0.0006657626705155323,-0.02900145157189893,0
-0.0006657626705155323,-0.02900145157189893,0.01694770324607747,0.7995463498043397,1
0.01694770324607747,0.7995463498043397,-0.0015288786435008561,-0.06960293484249148,0
-0.0015288786435008561,-0.06960293484249148,-0.008340721587981954,-0.3900360353859292,0
-0.008340721587981954,-0.3900360353859292,0.00812215515690588,0.3843873742880757,1
0.00812215515690588,0.3843873742880757,-0.017867495416135925,-0.838181082300835,0
-0.017867495416135925,-0.838181082300835,0.0028892356067217696,0.13822775933124581,1
0.0028892356067217696,0.13822775933124581,-0.013180133508398814,-0.6176848198785925,0
-0.013180133508398814,-0.6176848198785925,-0.009943639929328877,-0.4654382574016139,0
-0.009943639929328877,-0.4654382574016139,0.0006811804995409289,0.034359547757464914,1
0.0006811804995409289,0.034359547757464914,0.03150042214040647,1.484114810153969,1
0.03150042214040647,1.484114810153969,0.007667875681771492,0.36301780045659243,1
0.007667875681771492,0.36301780045659243,-0.0030600983365457373,-0.14163241025091466,0
-0.0030600983365457373,-0.14163241025091466,0.00915234487479109,0.4328481048334529,1
0.00915234487479109,0.4328481048334529,0.0,0.002316416217788058,0
0.0,0.002316416217788058,0.006917444497630465,0.32771707596269994,1
0.006917444497630465,0.32771707596269994,-0.0025884167868927173,-0.11944423259380867,0
-0.0025884167868927173,-0.11944423259380867,-0.0004320686650107183,-0.018008348035506824,0
-0.0004320686650107183,-0.018008348035506824,-0.014582871843426643,-0.6836704566009241,0
-0.014582871843426643,-0.6836704566009241,-0.014353818883294218,-0.6728956705698764,0
-0.014353818883294218,-0.6728956705698764,0.008857487652936018,0.41897784760839557,1
0.008857487652936018,0.41897784760839557,0.013793345172955655,0.6511634898598725,1
0.013793345172955655,0.6511634898598725,0.0021719919948931478,0.10448819776818535,1
0.0021719919948931478,0.10448819776818535,-0.010249816600136616,-0.4798409881663445,0
-0.010249816600136616,-0.4798409881663445,0.006772311539138233,0.32088993619160666,1
0.006772311539138233,0.32088993619160666,-0.0026160671054442463,-0.12074491984932717,0
-0.0026160671054442463,-0.12074491984932717,-0.002404123281948481,-0.11077495767355468,0
-0.002404123281948481,-0.11077495767355468,0.005890721777802413,0.27941943504608957,1
0.005890721777802413,0.27941943504608957,-0.008081353314395802,-0.37783519917094505,0
-0.008081353314395802,-0.37783519917094505,-0.007263111498360856,-0.33934462264953585,0
-0.007263111498360856,-0.33934462264953585,-0.008429532362485575,-0.39421374647935886,0
-0.008429532362485575,-0.39421374647935886,0.007545534171717827,0.3572627838316975,1
