log_returns,output
-0.022356305533198683,1
0.03414178499653589,0
-0.0031715974038119313,1
0.03955055307347123,1
0.03126196573956135,1
0.0088391628050203,0
-0.002937677536624764,0
-0.031075128986241922,1
0.015658267591819108,0
-0.010210303142869236,1
0.0370357824707011,1
0.05928912163515734,1
0.012801515384313997,1
0.006743113746127372,1
0.02992414537503494,0
-0.04019175964664441,0
-0.04613209903945473,0
-0.024180802749468117,0
-0.010250447620461157,0
-0.007683316020187613,0
-0.0032684805309496595,1
0.01886857873808785,1
0.01248010658894114,0
-0.0043358274070717665,1
0.0002895965738900454,1
0.04057870809387373,1
0.010786977858300474,1
0.04859368057933522,0
-0.02790135106185383,1
0.007784253699789257,0
-0.02463244877303751,1
0.030497499034317078,1
0.0010627236966171865,1
0.013975146100700934,1
0.006785050516047067,1
0.03400552694544131,0
-0.06705546095124688,0
-0.00512068074187241,0
-0.01250693572442244,0
-0.022130896181914186,0
-0.026358343564355666,1
0.006012876786370831,0
-0.02018514155556431,0
-0.008483330205661629,0
-0.025287746245573544,0
-0.011210507991757431,1
0.016918873868872482,1
0.016342637558067287,0
-0.002360633509795022,0
-0.027858634093097325,1
0.006056977079680068,0
-0.016438637891503516,1
0.0566807731435849,1
0.005206847365755918,1
0.013184458468571797,0
-0.006570500648524866,1
0.00028663522475253926,0
-0.0017207165658617064,1
0.005438645998054388,1
0.0008561163007937859,0
-0.0028563940633444247,0
-0.006888599648832362,1
0.005743753585049966,0
-0.026111078112260974,0
-0.05871576034736118,1
0.020975367673540538,1
0.0244245941515971,1
0.03627193937318157,1
0.019627955206974333,1
0.04758217910769597,1
0.0002686218914101608,1
0.010683801021198624,0
-0.11622344684099184,1
0.04891806064777405,0
-0.022996105612219632,1
0.0040626693537045054,0
-0.02018493680282098,1
0.026536032763680162,0
-0.019762349295242683,0
-0.0008808921147525271,1
0.0203554785272582,1
0.017406540049625493,1
0.01766486662197175,1
0.050403532416465724,1
0.01599196757790429,1
0.005188098718801507,0
-0.009358025113278769,1
0.007026715957183743,0
-0.0015572640629993035,1
0.003370963034340659,0
-0.043111291683854726,1
0.013689606702388502,1
0.005582970780868302,0
-0.00504990950661477,0
-0.004004750018938684,0
-0.022728254596584462,1
0.01736341449601767,1
0.10871690948620237,1
0.054003712816060145,1
0.005698021114637796,0
-0.013269511638882856,0
-0.009487514508769987,0
-0.023524962543300606,1
0.0071158519625034574,0
-0.02779953298583603,0
-0.004628005824464669,1
0.020061139988122714,1
0.005726521605777326,1
0.02281649572015217,0
0.0,1
0.02955882291274187,0
-0.051661735680989876,0
-0.04324216538039333,0
-0.0014906228497659814,0
-0.03645979635829615,0
-0.08275390818041267,0
0.0,1
0.01446077600128114,1
0.022926771755368336,1
0.03734049058240788,0
-0.02234295301483751,0
-0.03682063644372495,1
0.0002758068788696758,1
0.02504890509481533,0
-0.025600489709942633,0
-0.011653798879868218,1
0.02616860356604058,0
-0.01038536942441193,0
-0.0199785002975028,1
0.0218997220270788,1
0.04030636810083759,1
0.019818075314446574,0
-0.01902832198091859,1
0.0007891301153564778,0
-0.0007891301153563982,1
0.032365284502031716,1
0.00305263359704708,0
-0.005348264059679271,0
-0.07006966407103733,0
-0.009356154354317183,1
0.0030365962597809957,1
0.02772671459541689,1
0.04354214907954352,0
-0.0890668697980286,1
0.012270160467130708,1
0.007180321222647032,1
0.019079367328317807,1
0.03788031400026448,0
-0.002081755381509613,1
0.034812847986346936,1
0.006769499493618893,1
0.002495595876762619,0
-0.015068052007966688,0
-0.04714676977167022,1
0.015006196707948456,0
-0.0013073406480504164,0
-0.016886928041485588,0
-0.019616465481993483,1
0.009184293783121751,0
-0.015172265060328753,0
-0.038685757252728714,0
-0.04260900074475745,1
0.030044516904069413,0
-0.012724249977393257,0
-0.022069454982653055,0
-0.04503345352551881,0
-0.004992264777373363,1
0.07789904207834171,1
0.017780764311823353,0
-0.034999929876875224,1
0.01519165750683368,0
-0.021392855603929013,0
-0.01582355141924848,1
0.034312738105349176,1
0.04324999729257869,1
0.001113301400477458,0
-0.009221857514168926,1
0.015599240526954838,0
-0.006377383012786015,0
-0.009783510393076547,1
0.028794928151645992,1
0.006257660128425143,1
0.014005089388809235,1
0.022217263069285672,0
-0.016616525920420514,1
0.00026597889672086894,1
0.03346714376266669,1
0.013028722558428699,1
