log_returns,log_returns_norm,out_log_returns,out_log_returns_norm,bin_output
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,-0.04380258071909082,-2.7085739374279414,0
-0.04380258071909082,-2.7085739374279414,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,-0.07152813609679119,-4.4216049246325335,0
-0.07152813609679119,-4.4216049246325335,-0.015144118057530092,-0.9379030197090252,0
-0.015144118057530092,-0.9379030197090252,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.015144118057530185,0.9334638945349468,1
0.015144118057530185,0.9334638945349468,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.02082376160010056,1.2843822170773644,1
0.02082376160010056,1.2843822170773644,0.004894791204251099,0.30020644455879153,1
0.004894791204251099,0.30020644455879153,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.053244554531189606,3.2875097347814157,1
0.053244554531189606,3.2875097347814157,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,-0.017749231523330355,-1.098860664427266,0
-0.017749231523330355,-1.098860664427266,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,-0.015194960108799215,-0.9410443096882731,0
-0.015194960108799215,-0.9410443096882731,0.015194960108799203,0.9366051845141882,1
0.015194960108799203,0.9366051845141882,0.0,-0.002219562587042075,0
0.0,-0.002219562587042075,0.0,-0.002219562587042075,0
